Total number of initial group guesses: 100. 

1 Cost = 531.5463647556811
1 Group Members: 
[[ 3  0]
 [ 2  2]
 [ 1  1]
 [ 3  2]
 [ 3  1]
 [ 4 -1]
 [ 4  4]
 [ 4  2]
 [ 4  3]
 [ 4 -2]
 [ 3  3]
 [ 1  0]
 [ 4  1]
 [ 2  0]
 [ 4  0]] 

1 Group Paths: 
Initial State Final State                                       Path  Effective Pi-Time
       [4, 2]      [2, 0]                  ['[4, 2]', '2', '[2, 0]']         119.387917
       [4, 2]      [4, 0]                  ['[4, 2]', '1', '[4, 0]']         105.030715
       [4, 3]      [3, 0]                  ['[4, 3]', '2', '[3, 0]']         225.657105
       [4, 3]      [2, 2]                  ['[4, 3]', '2', '[2, 2]']         164.028035
       [4, 3]      [1, 1]   ['[4, 3]', '2', '[4, 2]', '1', '[1, 1]']         339.571406
       [4, 3]      [3, 2]   ['[4, 3]', '2', '[4, 2]', '1', '[3, 2]']         192.739164
       [4, 3]      [3, 1]   ['[4, 3]', '2', '[4, 0]', '0', '[3, 1]']         220.011551
       [4, 3]     [4, -1]  ['[4, 3]', '2', '[4, 2]', '1', '[4, -1]']         174.710128
       [4, 3]      [4, 4]                  ['[4, 3]', '2', '[4, 4]']          79.040600
       [4, 3]      [4, 2]                  ['[4, 3]', '2', '[4, 2]']          79.459800
       [4, 3]     [4, -2]  ['[4, 3]', '2', '[4, 0]', '0', '[4, -2]']         206.102574
       [4, 3]      [3, 3]   ['[4, 3]', '2', '[4, 2]', '1', '[3, 3]']         186.668406
       [4, 3]      [1, 0]                  ['[4, 3]', '2', '[1, 0]']         156.798384
       [4, 3]      [4, 1]                  ['[4, 3]', '2', '[4, 1]']         102.642484
       [4, 3]      [2, 0]                  ['[4, 3]', '2', '[2, 0]']         107.741517
       [4, 3]      [4, 0]                  ['[4, 3]', '2', '[4, 0]']         109.125026
      [4, -2]      [3, 0]                 ['[4, -2]', '0', '[3, 0]']          89.895869
      [4, -2]      [2, 2]                 ['[4, -2]', '0', '[2, 2]']         162.754570
      [4, -2]      [1, 1]                 ['[4, -2]', '0', '[1, 1]']         193.880430
      [4, -2]      [3, 2]                 ['[4, -2]', '0', '[3, 2]']          93.319667
      [4, -2]      [3, 1]                 ['[4, -2]', '0', '[3, 1]']          71.232482
      [4, -2]     [4, -1]                ['[4, -2]', '0', '[4, -1]']          79.480249
      [4, -2]      [4, 4]  ['[4, -2]', '0', '[4, 0]', '2', '[4, 4]']         217.329774
      [4, -2]      [4, 2] ['[4, -2]', '0', '[4, -1]', '1', '[4, 2]']         174.730577
      [4, -2]      [4, 3]  ['[4, -2]', '0', '[4, 0]', '2', '[4, 3]']         206.102574
      [4, -2]      [3, 3] ['[4, -2]', '0', '[4, -1]', '1', '[3, 3]']         172.691426
      [4, -2]      [1, 0]  ['[4, -2]', '0', '[4, 0]', '2', '[1, 0]']         295.087558
      [4, -2]      [4, 1]                 ['[4, -2]', '0', '[4, 1]']         162.490005
      [4, -2]      [2, 0]                 ['[4, -2]', '0', '[2, 0]']         144.639118
      [4, -2]      [4, 0]                 ['[4, -2]', '0', '[4, 0]']          96.977548
       [3, 3]      [3, 0]  ['[3, 3]', '1', '[4, -1]', '0', '[3, 0]']         205.263790
       [3, 3]      [2, 2]                  ['[3, 3]', '1', '[2, 2]']         138.209763
       [3, 3]      [1, 1]                  ['[3, 3]', '1', '[1, 1]']         258.072454
       [3, 3]      [3, 2]                  ['[3, 3]', '1', '[3, 2]']         111.240213
       [3, 3]      [3, 1]  ['[3, 3]', '1', '[4, -1]', '0', '[3, 1]']         186.600403
       [3, 3]     [4, -1]                 ['[3, 3]', '1', '[4, -1]']          93.211177
       [3, 3]      [4, 4]   ['[3, 3]', '1', '[4, 2]', '2', '[4, 4]']         197.895606
       [3, 3]      [4, 2]                  ['[3, 3]', '1', '[4, 2]']         107.208606
       [3, 3]      [4, 3]   ['[3, 3]', '1', '[4, 2]', '2', '[4, 3]']         186.668406
       [3, 3]     [4, -2] ['[3, 3]', '1', '[4, -1]', '0', '[4, -2]']         172.691426
       [3, 3]      [1, 0]   ['[3, 3]', '1', '[4, 2]', '2', '[1, 0]']         275.653389
       [3, 3]      [4, 1]                  ['[3, 3]', '1', '[4, 1]']          99.380393
       [3, 3]      [2, 0]   ['[3, 3]', '1', '[4, 2]', '2', '[2, 0]']         226.596523
       [3, 3]      [4, 0]                  ['[3, 3]', '1', '[4, 0]']         102.991564
       [1, 0]      [3, 0]                  ['[1, 0]', '2', '[3, 0]']         314.642088
       [1, 0]      [2, 2]                  ['[1, 0]', '2', '[2, 2]']         253.013018
       [1, 0]      [1, 1]   ['[1, 0]', '2', '[4, 2]', '1', '[1, 1]']         428.556389
       [1, 0]      [3, 2]   ['[1, 0]', '2', '[4, 2]', '1', '[3, 2]']         281.724148
       [1, 0]      [3, 1]   ['[1, 0]', '2', '[4, 0]', '0', '[3, 1]']         308.996534
       [1, 0]     [4, -1]  ['[1, 0]', '2', '[4, 2]', '1', '[4, -1]']         263.695112
       [1, 0]      [4, 4]                  ['[1, 0]', '2', '[4, 4]']         168.025584
       [1, 0]      [4, 2]                  ['[1, 0]', '2', '[4, 2]']         168.444784
       [1, 0]      [4, 3]                  ['[1, 0]', '2', '[4, 3]']         156.798384
       [1, 0]     [4, -2]  ['[1, 0]', '2', '[4, 0]', '0', '[4, -2]']         295.087558
       [1, 0]      [3, 3]   ['[1, 0]', '2', '[4, 2]', '1', '[3, 3]']         275.653389
       [1, 0]      [4, 1]                  ['[1, 0]', '2', '[4, 1]']         191.627467
       [1, 0]      [2, 0]                  ['[1, 0]', '2', '[2, 0]']         196.726501
       [1, 0]      [4, 0]                  ['[1, 0]', '2', '[4, 0]']         198.110010
