Axial Freqs, Avg. Fidelities
2.159000000000000086e-01,9.984697080245522605e-01
2.177999999999999936e-01,9.984697070082925174e-01
2.197000000000000064e-01,9.984697054968748597e-01
2.216000000000000192e-01,9.984697030459143141e-01
2.235000000000000042e-01,9.984696999927175076e-01
2.254000000000000170e-01,9.984696962608285986e-01
2.273000000000000020e-01,9.984696914996709083e-01
2.292000000000000148e-01,9.984696862949523632e-01
2.310999999999999999e-01,9.984696804224045819e-01
2.330000000000000127e-01,9.984696737849693138e-01
2.348999999999999977e-01,9.984696674129075467e-01
2.368000000000000105e-01,9.984696616561895555e-01
2.386999999999999955e-01,9.984696574889789789e-01
2.406000000000000083e-01,9.984696563531367808e-01
2.424999999999999933e-01,9.984696583926323532e-01
2.444000000000000061e-01,9.984696640622473529e-01
2.463000000000000189e-01,9.984696730918649621e-01
2.482000000000000040e-01,9.984696839421814962e-01
2.500999999999999890e-01,9.984696960491218354e-01
2.520000000000000018e-01,9.984697078028595962e-01
2.539000000000000146e-01,9.984697168876595086e-01
2.558000000000000274e-01,9.984697225691979705e-01
2.577000000000000401e-01,9.984697233220595214e-01
2.595999999999999974e-01,9.984697180954590356e-01
2.615000000000000102e-01,9.984697074627369995e-01
2.633999999999999675e-01,9.984696910054965402e-01
2.652999999999999803e-01,9.984696694322904298e-01
2.671999999999999931e-01,9.984696438752989067e-01
2.691000000000000059e-01,9.984696134400244949e-01
2.710000000000000187e-01,9.984695783782436829e-01
2.729000000000000314e-01,9.984695381513061241e-01
2.748000000000000442e-01,9.984694904369755264e-01
2.767000000000000015e-01,9.984694351850764704e-01
2.786000000000000143e-01,9.984693715687703586e-01
2.804999999999999716e-01,9.984692984647102199e-01
2.823999999999999844e-01,9.984692178154007669e-01
2.842999999999999972e-01,9.984691307244201175e-01
2.862000000000000099e-01,9.984690399326030530e-01
2.881000000000000227e-01,9.984689509255932904e-01
2.900000000000000355e-01,9.984688667886633118e-01
2.918999999999999928e-01,9.984687922483436173e-01
