Initial State Final State                                Path  Effective Pi-Time
      [2, -2]      [4, 0]                [[2, -2], 0, [4, 0]]         156.927811
       [1, 1]      [1, 0]                 [[1, 1], 2, [1, 0]]         450.648029
       [3, 0]     [3, -1]               [[3, 0], -1, [3, -1]]          93.131503
       [1, 0]     [2, -1]               [[1, 0], -2, [2, -1]]         270.227269
      [1, -1]     [3, -3]              [[1, -1], -2, [3, -3]]         221.046094
      [2, -2]      [4, 1]                [[2, -2], 0, [4, 1]]         228.692329
       [3, 1]          -2           [[3, 1], -1, [3, -2], -2]         203.642689
       [1, 1]           1                         [[1, 1], 1]         206.641387
       [1, 0]           2                         [[1, 0], 2]         128.175654
      [2, -2]      [4, 2]   [[2, -2], -2, [2, -1], 1, [4, 2]]         303.511237
       [3, 1]          -1                        [[3, 1], -1]          93.413276
       [1, 0]           0            [[1, 0], -2, [2, -2], 0]         373.426966
      [1, -1]      [2, 2]                [[1, -1], 1, [2, 2]]         292.115295
      [1, -1]      [3, 1]               [[1, -1], -1, [3, 1]]         272.755885
      [2, -2]      [4, 3]    [[2, -2], -2, [2, 0], 2, [4, 3]]         355.311640
       [3, 2]      [3, 1]                 [[3, 2], 0, [3, 1]]         106.622876
       [3, 3]          -2            [[3, 3], 1, [2, -1], -2]         199.494788
       [3, 3]          -1            [[3, 3], 1, [4, -1], -1]         273.602979
       [3, 3]           0             [[3, 3], 1, [4, -1], 0]         146.128342
       [3, 3]           1                         [[3, 3], 1]          50.376090
       [3, 3]           2              [[3, 3], 1, [4, 2], 2]         153.544628
       [3, 3]     [4, -4]   [[3, 3], 1, [2, -1], -2, [4, -4]]         221.391788
       [3, 3]     [4, -3]   [[3, 3], 1, [4, -1], -1, [4, -3]]         298.682771
       [3, 3]     [4, -2]     [[3, 3], 1, [3, 2], 0, [4, -2]]         203.799860
       [3, 3]     [4, -1]                [[3, 3], 1, [4, -1]]          92.748206
       [3, 3]      [4, 0]                 [[3, 3], 1, [4, 0]]         103.319315
       [3, 3]      [4, 1]                 [[3, 3], 1, [4, 1]]          97.455493
       [3, 3]      [4, 2]                 [[3, 3], 1, [4, 2]]         107.712628
       [3, 3]      [4, 3]      [[3, 3], 1, [4, 2], 2, [4, 3]]         189.144628
       [3, 3]      [4, 4]      [[3, 3], 1, [4, 2], 2, [4, 4]]         196.774628
       [3, 3]     [3, -3]   [[3, 3], 1, [2, -1], -2, [3, -3]]         240.525788
       [3, 3]     [3, -2]   [[3, 3], 1, [2, -1], -2, [3, -2]]         247.351495
      [3, -2]          -2                       [[3, -2], -2]          47.856707
      [3, -2]          -1                       [[3, -2], -1]          62.372706
      [3, -2]           0            [[3, -2], -1, [3, 0], 0]         171.487385
