Initial State,Final State,Path,Effective Pi-Time
"[3, 3]",-2,"['[3, 3]', '1', '[2, -1]', '-2']",199.49478813037297
"[3, 2]","[3, 0]","['[3, 2]', '0', '[3, 0]']",123.53602367118808
"[3, 2]","[3, 1]","['[3, 2]', '0', '[3, 1]']",106.62287628355251
"[3, 2]","[3, -1]","['[3, 2]', '0', '[3, -1]']",204.19024318340135
"[3, 2]","[3, -2]","['[3, 2]', '0', '[4, -2]', '-1', '[3, -2]']",230.6726478252021
"[3, 2]","[3, -3]","['[3, 2]', '1', '[2, -1]', '-2', '[3, -3]']",251.74298453726095
"[3, 2]","[4, 0]","['[3, 2]', '1', '[4, 0]']",114.53651179741352
"[3, 2]","[4, 1]","['[3, 2]', '1', '[4, 1]']",108.67268897603654
"[3, 2]","[4, 2]","['[3, 2]', '1', '[4, 2]']",118.92982445250038
"[3, 2]","[4, 3]","['[3, 2]', '1', '[4, 2]', '2', '[4, 3]']",200.36182445250037
"[3, 2]","[4, -1]","['[3, 2]', '1', '[4, -1]']",103.96540287407879
"[3, 2]",2,"['[3, 2]', '1', '[4, 2]', '2']",164.76182445250038
"[3, 2]",1,"['[3, 2]', '1']",61.59328599096191
"[3, 2]","[4, -2]","['[3, 2]', '0', '[4, -2]']",91.83048462980167
"[3, 2]","[4, -3]","['[3, 2]', '0', '[4, -2]', '-1', '[4, -3]']",193.37973466260405
"[3, 2]",0,"['[3, 2]', '0']",61.935288461538455
"[3, 2]",-1,"['[3, 2]', '0', '[4, -2]', '-1']",168.29994220977386
"[3, 2]",-2,"['[3, 2]', '1', '[2, -1]', '-2']",210.71198453726095
"[3, 3]","[4, 3]","['[3, 3]', '1', '[4, 2]', '2', '[4, 3]']",189.1446280456124
"[3, 2]","[4, -4]","['[3, 2]', '1', '[2, -1]', '-2', '[4, -4]']",232.60898453726094
"[3, 3]","[4, 4]","['[3, 3]', '1', '[4, 2]', '2', '[4, 4]']",196.7746280456124
"[2, -1]","[4, -4]","['[2, -1]', '-2', '[4, -4]']",103.93311349957008
"[3, 1]","[3, 0]","['[3, 1]', '0', '[3, 0]']",106.28832303166368
"[3, 1]","[3, -1]","['[3, 1]', '-1', '[3, -1]']",139.03083468878305
"[3, 3]","[4, -4]","['[3, 3]', '1', '[2, -1]', '-2', '[4, -4]']",221.39178813037296
"[3, 1]","[3, -2]","['[3, 1]', '-1', '[3, -2]']",155.78598181846053
"[3, 1]","[3, -3]","['[3, 1]', '-1', '[3, -3]']",206.628364531108
"[3, 1]","[4, 0]","['[3, 1]', '0', '[4, 0]']",113.43558782201407
"[3, 1]","[4, 3]","['[3, 1]', '0', '[4, 0]', '2', '[4, 3]']",227.48188946135832
"[3, 1]","[4, 2]","['[3, 1]', '0', '[4, -1]', '1', '[4, 2]']",197.77637908899953
"[3, 1]","[4, 1]","['[3, 1]', '0', '[4, 1]']",185.2001062314397
"[3, 1]","[4, -1]","['[3, 1]', '0', '[4, -1]']",98.06772374434416
"[3, 1]","[4, -2]","['[3, 1]', '0', '[4, -2]']",74.58278399027728
"[3, 1]",0,"['[3, 1]', '0']",44.68758782201406
"[3, 1]",2,"['[3, 1]', '0', '[4, 0]', '2']",191.88188946135833
"[2, -2]","[4, -4]","['[2, -2]', '-2', '[4, -4]']",118.953
"[3, 1]",1,"['[3, 1]', '0', '[4, -1]', '1']",140.43984062746105
"[3, 1]",-1,"['[3, 1]', '-1']",93.4132762030323
"[3, 1]",-2,"['[3, 1]', '-1', '[3, -2]', '-2']",203.64268864576977
"[3, 1]","[4, -3]","['[3, 1]', '-1', '[4, -3]']",118.49306865586249
"[3, 1]","[4, -4]","['[3, 1]', '-1', '[3, -2]', '-2', '[4, -4]']",225.53968864576976
"[3, 0]","[3, -1]","['[3, 0]', '-1', '[3, -1]']",93.13150270885832
"[3, 0]","[4, 3]","['[3, 0]', '2', '[4, 3]']",235.53973816155985
"[3, 0]","[4, 2]","['[3, 0]', '0', '[4, -1]', '1', '[4, 2]']",214.68952647663508
"[3, 0]","[3, -2]","['[3, 0]', '-1', '[3, -2]']",109.88664983853582
"[3, 0]","[4, 1]","['[3, 0]', '0', '[4, 1]']",202.11325361907527
"[3, 0]","[4, 0]","['[3, 0]', '0', '[4, 0]']",130.34873520964965
"[3, 0]","[4, 4]","['[3, 0]', '2', '[4, 4]']",243.16973816155985
"[3, 0]","[3, -3]","['[3, 0]', '-1', '[3, -3]']",160.72903255118325
"[3, 0]",2,"['[3, 0]', '2']",199.93973816155986
"[3, 0]",1,"['[3, 0]', '0', '[4, -1]', '1']",157.35298801509663
"[3, 2]","[4, 4]","['[3, 2]', '1', '[4, 2]', '2', '[4, 4]']",207.99182445250037
"[3, 0]","[4, -1]","['[3, 0]', '0', '[4, -1]']",114.98087113197974
"[3, 0]",0,"['[3, 0]', '0']",61.60073520964963
"[3, 0]",-1,"['[3, 0]', '-1']",47.51394422310757
"[3, 0]",-2,"['[3, 0]', '-1', '[3, -2]', '-2']",157.74335666584506
"[3, 0]","[4, -2]","['[3, 0]', '0', '[4, -2]']",91.49593137791285
"[3, -1]","[3, -2]","['[3, -1]', '-1', '[3, -2]']",107.990264101179
"[3, 0]","[4, -3]","['[3, 0]', '-1', '[4, -3]']",72.59373667593775
"[3, -1]","[4, 0]","['[3, -1]', '0', '[4, 0]']",211.00295472186292
"[3, -1]","[4, 1]","['[3, -1]', '1', '[4, 1]']",231.12649529276692
"[3, -1]","[4, 2]","['[3, -1]', '1', '[4, 2]']",241.38363076923076
"[3, -1]","[4, 3]","['[3, -1]', '-1', '[2, 1]', '2', '[4, 3]']",304.62850150123825
"[3, 0]","[4, -4]","['[3, 0]', '-1', '[3, -2]', '-2', '[4, -4]']",179.64035666584505
"[3, -1]","[3, -3]","['[3, -1]', '-2', '[3, -3]']",110.82470885149965
"[3, -1]","[4, 4]","['[3, -1]', '-1', '[2, 1]', '2', '[4, 4]']",312.25850150123824
"[3, -1]",2,"['[3, -1]', '-1', '[2, 1]', '2']",269.0285015012382
"[3, -1]",0,"['[3, -1]', '0']",142.2549547218629
"[3, -1]",1,"['[3, -1]', '1']",184.04709230769228
"[3, -1]","[4, -1]","['[3, -1]', '0', '[4, -1]']",195.635090644193
"[3, -1]",-1,"['[3, -1]', '-1']",45.61755848575075
"[3, -1]",-2,"['[3, -1]', '-2']",69.79370885149964
"[3, -1]","[4, -2]","['[3, -1]', '-1', '[4, -2]']",122.08701606572293
"[3, -1]","[4, -3]","['[3, -1]', '-1', '[4, -3]']",70.69735093858094
"[3, -2]","[4, 2]","['[3, -2]', '-2', '[2, -1]', '1', '[4, 2]']",254.31194383514674
"[3, -2]","[4, 1]","['[3, -2]', '-2', '[2, -1]', '1', '[4, 1]']",244.05480835868292
"[3, -2]","[4, 0]","['[3, -2]', '-1', '[4, -2]', '0', '[4, 0]']",237.48535936366363
"[3, -2]","[4, 3]","['[3, -2]', '-2', '[2, 0]', '2', '[4, 3]']",306.1123470952298
"[3, -2]","[4, -1]","['[3, -2]', '-1', '[4, -2]', '0', '[4, -1]']",222.11749528599375
"[3, -2]","[3, -3]","['[3, -2]', '-2', '[3, -3]']",88.88770682730924
"[3, -2]",2,"['[3, -2]', '-2', '[2, 0]', '2']",270.51234709522976
"[3, -2]",1,"['[3, -2]', '-2', '[2, -1]', '1']",196.97540537360828
