Initial State Final State                                          Path  Effective Pi-Time
       [3, 2]      [2, 0]                           [[3, 2], 0, [2, 0]]         180.635279
       [3, 2]     [2, -1]                          [[3, 2], 1, [2, -1]]         122.987918
       [3, 3]      [4, 4]                [[3, 3], 1, [4, 2], 2, [4, 4]]         197.895606
       [3, 2]      [3, 1]                           [[3, 2], 0, [3, 1]]         107.228643
       [3, 2]      [3, 0]                           [[3, 2], 0, [3, 0]]         125.892031
       [3, 2]     [3, -1]                          [[3, 2], 0, [3, -1]]         200.143032
       [3, 3]     [3, -3]             [[3, 3], 1, [2, -1], -2, [3, -3]]         234.131831
      [2, -2]      [3, 3]              [[2, -2], 0, [4, -1], 1, [3, 3]]         228.607490
       [3, 2]      [1, 1]                           [[3, 2], 0, [1, 1]]         229.876592
       [3, 3]          -2                      [[3, 3], 1, [2, -1], -2]         195.074731
       [3, 2]      [3, 3]                           [[3, 2], 1, [3, 3]]         111.240213
       [3, 2]      [4, 1]                           [[3, 2], 1, [4, 1]]         105.451152
       [3, 2]     [2, -2]                          [[3, 2], 0, [2, -2]]         149.235731
       [3, 2]     [4, -1]                          [[3, 2], 1, [4, -1]]          99.281936
       [3, 2]     [4, -2]                          [[3, 2], 0, [4, -2]]          93.319667
       [3, 2]      [4, 2]                           [[3, 2], 1, [4, 2]]         113.279364
       [3, 2]      [4, 3]                [[3, 2], 1, [4, 2], 2, [4, 3]]         192.739164
       [3, 2]      [4, 4]                [[3, 2], 1, [4, 2], 2, [4, 4]]         203.966364
       [3, 2]           1                                   [[3, 2], 1]          58.655486
       [3, 2]           2                        [[3, 2], 1, [4, 2], 2]         158.832464
       [3, 2]           0                                   [[3, 2], 0]          64.657914
       [3, 3]          -1          [[3, 3], 1, [4, -1], 0, [4, -2], -1]         245.470363
       [3, 3]     [4, -2]              [[3, 3], 1, [4, -1], 0, [4, -2]]         172.691426
       [3, 1]      [1, 1]                           [[3, 1], 0, [1, 1]]         207.789407
       [3, 2]      [1, 0]                [[3, 2], 1, [4, 2], 2, [1, 0]]         281.724148
       [3, 2]          -2                      [[3, 2], 1, [2, -1], -2]         201.145490
       [3, 3]     [4, -4]             [[3, 3], 1, [2, -1], -2, [4, -4]]         216.072931
       [3, 1]      [2, 0]                           [[3, 1], 0, [2, 0]]         158.548094
       [3, 1]      [2, 2]                           [[3, 1], 0, [2, 2]]         176.663547
       [3, 1]     [2, -2]                          [[3, 1], 0, [2, -2]]         127.148545
       [3, 2]     [3, -3]             [[3, 2], 1, [2, -1], -2, [3, -3]]         240.202590
       [3, 1]      [3, 3]               [[3, 1], 0, [4, -1], 1, [3, 3]]         186.600403
       [3, 1]      [3, 0]                           [[3, 1], 0, [3, 0]]         103.804846
       [3, 1]     [3, -1]                         [[3, 1], -1, [3, -1]]         142.856512
       [3, 2]      [4, 0]                           [[3, 2], 1, [4, 0]]         109.062323
       [3, 1]     [1, -1]                          [[3, 1], 0, [1, -1]]         265.456811
       [3, 1]     [2, -1]              [[3, 1], 0, [4, -1], 1, [2, -1]]         198.348107
       [3, 1]     [3, -3]                         [[3, 1], -1, [3, -3]]         206.081952
       [3, 1]      [4, 2]               [[3, 1], 0, [4, -1], 1, [4, 2]]         188.639554
       [3, 1]     [3, -2]                         [[3, 1], -1, [3, -2]]         156.912719
       [3, 1]      [4, 0]                           [[3, 1], 0, [4, 0]]         110.886524
       [3, 1]      [3, 2]                           [[3, 1], 0, [3, 2]]         107.228643
       [3, 1]      [2, 1]                          [[3, 1], -1, [2, 1]]         213.711141
       [3, 2]          -1                      [[3, 2], 0, [4, -2], -1]         166.098604
       [3, 1]      [4, 1]                           [[3, 1], 0, [4, 1]]         176.398981
       [3, 1]     [4, -3]                         [[3, 1], -1, [4, -3]]         121.579921
       [3, 1]           1                       [[3, 1], 0, [4, -1], 1]         134.015675
       [3, 1]           0                                   [[3, 1], 0]          42.570729
