Initial State Final State                                          Path  Effective Pi-Time
            1      [2, 0]                        [1, [4, 2], 2, [2, 0]]         174.011796
            1      [4, 3]                        [1, [4, 2], 2, [4, 3]]         134.083678
            1      [4, 2]                                   [1, [4, 2]]          54.623878
            1      [4, 1]                                   [1, [4, 1]]          46.795666
            1      [4, 0]                                   [1, [4, 0]]          50.406837
            1     [4, -1]                                  [1, [4, -1]]          40.626450
            2     [4, -4]                      [2, [2, 0], -2, [4, -4]]         246.859560
            1     [4, -2]                      [1, [4, -1], 0, [4, -2]]         120.106699
            1     [4, -3]         [1, [4, -1], 0, [4, -2], -1, [4, -3]]         216.938355
            1           2                                [1, [4, 2], 2]         100.176978
            1           0                               [1, [4, -1], 0]          91.444946
            1     [4, -4]                     [1, [2, -1], -2, [4, -4]]         163.488204
            1          -2                              [1, [2, -1], -2]         142.490004
            1          -1                  [1, [4, -1], 0, [4, -2], -1]         192.885636
            2     [4, -3]                      [2, [2, 0], -1, [4, -3]]         240.921966
            1     [3, -1]                                  [1, [3, -1]]         176.599532
            0      [2, 2]                                   [0, [2, 2]]         134.092818
            2     [3, -2]                      [2, [2, 0], -2, [3, -2]]         273.430500
            0      [2, 0]                                   [0, [2, 0]]         115.977365
            1      [3, 0]                       [1, [4, -1], 0, [3, 0]]         152.679063
            0     [2, -2]                                  [0, [2, -2]]          84.577816
            2     [3, -1]                      [2, [2, 0], -1, [3, -1]]         262.198557
            2          -2                               [2, [2, 0], -2]         225.861360
            0      [1, 1]                                   [0, [1, 1]]         165.218678
            0     [1, -1]                                  [0, [1, -1]]         222.886082
            0     [3, -1]                                  [0, [3, -1]]         135.485118
            1     [3, -3]                     [1, [2, -1], -2, [3, -3]]         181.547104
            0      [2, 1]                      [0, [4, -2], -1, [2, 1]]         217.624628
            0     [2, -1]                      [0, [4, -1], 1, [2, -1]]         155.777378
            0      [3, 0]                                   [0, [3, 0]]          61.234117
            0      [3, 2]                                   [0, [3, 2]]          64.657914
            0      [4, 1]                                   [0, [4, 1]]         133.828252
            0      [4, 0]                                   [0, [4, 0]]          68.315795
            0     [4, -1]                                  [0, [4, -1]]          50.818496
            0     [4, -2]                                  [0, [4, -2]]          28.661752
            0      [3, 3]                       [0, [4, -1], 1, [3, 3]]         144.029674
            0      [3, 1]                                   [0, [3, 1]]          42.570729
            0     [3, -3]                     [0, [4, -2], -1, [3, -3]]         209.995439
            0           1                               [0, [4, -1], 1]          91.444946
            0      [4, 4]                        [0, [4, 0], 2, [4, 4]]         188.668022
            0          -1                              [0, [4, -2], -1]         101.440690
            0          -2                              [0, [2, -2], -2]         181.027589
            1     [3, -2]                     [1, [2, -1], -2, [3, -2]]         190.059143
           -1      [1, 1]                                  [-1, [1, 1]]         262.574579
           -1     [1, -1]                                 [-1, [1, -1]]         178.225617
           -1      [2, 1]                                  [-1, [2, 1]]         116.183938
           -1      [2, 0]                                  [-1, [2, 0]]         143.034430
            0     [4, -3]                     [0, [4, -2], -1, [4, -3]]         125.493409
           -1      [2, 2]                      [-1, [4, -2], 0, [2, 2]]         235.533508
            0      [1, 0]                        [0, [4, 0], 2, [1, 0]]         266.425805
            0      [4, 2]                       [0, [4, -1], 1, [4, 2]]         146.068825
            0           2                                [0, [4, 0], 2]         143.534122
           -1      [3, 0]                                  [-1, [3, 0]]          45.253774
           -1     [3, -1]                                 [-1, [3, -1]]          45.329310
            1      [4, 4]                        [1, [4, 2], 2, [4, 4]]         145.310878
           -1     [2, -1]                    [-1, [3, -2], -2, [2, -1]]         185.112228
           -1     [3, -3]                                 [-1, [3, -3]]         108.554750
           -1     [2, -2]                                 [-1, [2, -2]]          99.126584
           -1      [4, 2]          [-1, [4, -2], 0, [4, -1], 1, [4, 2]]         247.509515
           -1      [3, 1]                                  [-1, [3, 1]]          97.527202
           -1     [3, -2]                                 [-1, [3, -2]]          59.385516
           -1      [4, 0]                      [-1, [4, -2], 0, [4, 0]]         169.756485
           -1     [4, -1]                     [-1, [4, -2], 0, [4, -1]]         152.259186
           -1     [4, -3]                                 [-1, [4, -3]]          24.052719
           -1     [4, -2]                                 [-1, [4, -2]]          72.778937
            0     [3, -2]                     [0, [4, -2], -1, [3, -2]]         160.826206
           -1           2                               [-1, [2, 0], 2]         216.869247
           -1           0                              [-1, [4, -2], 0]         101.440690
           -1      [3, 3]          [-1, [4, -2], 0, [4, -1], 1, [3, 3]]         245.470363
            0      [4, 3]                        [0, [4, 0], 2, [4, 3]]         177.440822
           -2      [1, 0]                                  [-2, [1, 0]]         196.597411
           -2     [1, -1]                                 [-2, [1, -1]]         171.429771
           -1           1                  [-1, [4, -2], 0, [4, -1], 1]         192.885636
           -2      [2, 2]                      [-2, [2, -1], 1, [2, 2]]         228.115040
           -2      [2, 0]                                  [-2, [2, 0]]         152.026543
           -2     [2, -1]                                 [-2, [2, -1]]          78.157572
           -2     [2, -2]                                 [-2, [2, -2]]          96.449773
            0     [4, -4]                     [0, [2, -2], -2, [4, -4]]         202.025789
           -1     [4, -4]                    [-1, [3, -2], -2, [4, -4]]         127.952856
           -1      [3, 2]                      [-1, [4, -2], 0, [3, 2]]         166.098604
           -2      [3, 0]                     [-2, [3, -2], -1, [3, 0]]         152.208430
           -2     [3, -1]                                 [-2, [3, -1]]          66.499818
           -2     [3, -2]                                 [-2, [3, -2]]          47.569139
           -2     [3, -3]                                 [-2, [3, -3]]          39.057100
           -2      [3, 1]                     [-2, [3, -2], -1, [3, 1]]         204.481858
           -1      [4, 1]                      [-1, [4, -2], 0, [4, 1]]         235.268942
           -1      [4, 3]                       [-1, [2, 0], 2, [4, 3]]         250.775947
           -2      [2, 1]                     [-2, [3, -2], -1, [2, 1]]         223.138594
           -1      [1, 0]                     [-1, [3, -2], -2, [1, 0]]         303.552067
           -2     [4, -1]                     [-2, [2, -1], 1, [4, -1]]         183.116454
           -1          -2                             [-1, [3, -2], -2]         106.954656
           -1      [4, 4]                       [-1, [2, 0], 2, [4, 4]]         262.003147
           -2     [4, -4]                                 [-2, [4, -4]]          20.998200
           -2     [4, -2]                    [-2, [3, -2], -1, [4, -2]]         179.733593
           -2           1                              [-2, [2, -1], 1]         142.490004
           -2           0                              [-2, [2, -2], 0]         181.027589
           -2      [4, 2]                      [-2, [2, -1], 1, [4, 2]]         197.113882
           -2      [4, 4]                       [-2, [2, 0], 2, [4, 4]]         270.995260
           -2      [4, 1]                      [-2, [2, -1], 1, [4, 1]]         189.285670
           -2      [3, 3]                      [-2, [2, -1], 1, [3, 3]]         195.074731
           -2      [4, 0]                      [-2, [2, -1], 1, [4, 0]]         192.896841
           -2     [4, -3]                    [-2, [3, -2], -1, [4, -3]]         131.007375
           -2      [3, 2]                      [-2, [2, -1], 1, [3, 2]]         201.145490
           -2          -1                             [-2, [3, -2], -1]         106.954656
           -2      [4, 3]                       [-2, [2, 0], 2, [4, 3]]         259.768060
           -2      [1, 1]                      [-2, [2, -2], 0, [1, 1]]         346.246266
           -2           2                               [-2, [2, 0], 2]         225.861360
